,College Name,New_name
32337,TAGORE COLLEGE OF EDUCATION ,TAGORE COLLEGE OF EDUCATION 
32338,Tagore College of Education For Women,Tagore College of Education For Women
32339,TAGORE DENTAL COLLEGE AND HOSPITAL,TAGORE DENTAL COLLEGE AND HOSPITAL
32340,Tagore Engineering College,Tagore Engineering College
32341,Tagore Engineering College ,Tagore Engineering College 
32342,Tagore Girls College of Arts & Sci.,Tagore Girls College of Arts  Sci.
32343,Tagore Government College of Education ,Tagore Government College of Education 
32344,Tagore Gramothan College,Tagore Gramothan College
32345,Tagore Institute of Engineering and Technology ,Tagore Institute of Engineering and Technology 
32346,Tagore Institute of Management,Tagore Institute of Management
32347,Tagore Kanya PG Mahavi.,Tagore Kanya PG Mahavi.
32348,Tagore Mahavi.,Tagore Mahavi.
32349,Tagore Mahavidayalaya,Tagore Mahavidayalaya
32350,Tagore Mahavidhyalaya,Tagore Mahavidhyalaya
32351,Tagore Mahavidyalaya,Tagore Mahavidyalaya
32352,Tagore Mahila T.T. College,Tagore Mahila T.T. College
32353,TAGORE MEDICAL COLLEGE AND HOSPITAL,TAGORE MEDICAL COLLEGE AND HOSPITAL
32354,Tagore PG Girls College,Tagore PG Girls College
32355,Tagore PG Mahavi.,Tagore PG Mahavi.
32356,Tagore Public Law College,Tagore Public Law College
32357,Tagore Sangeet evam Kala Mahavidhyalaya,Tagore Sangeet evam Kala Mahavidhyalaya
32358,Tagore School of Rural Development & Agriculture ,Tagore School of Rural Development  Agriculture 
32359,Tagore Shiksha College,Tagore Shiksha College
32360,Tagore Shikshak Prashikshan Sansthan,Tagore Shikshak Prashikshan Sansthan
32361,Tagore T.T. College,Tagore T.T. College
32362,Tagore TT College,Tagore TT College
32363,TAHIRA KHANAMS COLLEGE OF EDUCATION,TAHIRA KHANAMS COLLEGE OF EDUCATION
32364,Tai Golvalkar Science College,Tai Golvalkar Science College
32365,Taj Computer Centre ,Taj Computer Centre 
32366,Taj Memorial TT College,Taj Memorial TT College
32367,Taj Tibbiya College and Rashidiya Hospital,Taj Tibbiya College and Rashidiya Hospital
32368,TAJESWANI GIRLS COLLEGE,TAJESWANI GIRLS COLLEGE
32369,Tak Shiksha Niketan T.T. College ,Tak Shiksha Niketan T.T. College 
32370,Takashilla Mahavidyalaya,Takashilla Mahavidyalaya
32371,Taki Government College ,Taki Government College 
32372,TAKSHASHILA B.ED. COLLEGE-HALVAD ,TAKSHASHILA B.ED. COLLEGEHALVAD 
32373,Takshashila College ,Takshashila College 
32374,Takshashila Degree College,Takshashila Degree College
32375,Takshashila Degree College ,Takshashila Degree College 
32376,Takshashila Institute of Management,Takshashila Institute of Management
32377,Takshashila Institute of Management ,Takshashila Institute of Management 
32378,Takshila College,Takshila College
32379,Takshila Institute of Engineering & Technology,Takshila Institute of Engineering  Technology
32380,Takshila Management and Technology Campus,Takshila Management and Technology Campus
32381,TAKSHILA TEACHERTS TRG. COLLEGE,TAKSHILA TEACHERTS TRG. COLLEGE
32382,Takshila Women College,Takshila Women College
32383,TakshShila College,TakshShila College
32384,TAKSHSHILA COLLEGE OF ENGG. & TECH.,TAKSHSHILA COLLEGE OF ENGG.  TECH.
32385,Takshshila College of Management & Technology,Takshshila College of Management  Technology
32386,Taksh-Shila Mahavidayalya Civic Center Engineers Bhawan Bhilai ,TakshShila Mahavidayalya Civic Center Engineers Bhawan Bhilai 
32387,Talasila Degree College,Talasila Degree College
32388,Talat College of Education,Talat College of Education
32389,Talcher College,Talcher College
32390,Talimuddin Niswa Mahavidyalaya,Talimuddin Niswa Mahavidyalaya
32391,Taliparamba Arts & Science College,Taliparamba Arts  Science College
32392,Talla Padmavathi College of Education,Talla Padmavathi College of Education
32393,Talla Padmavathi College of Engineering ,Talla Padmavathi College of Engineering 
32394,Talmale college of Home Science,Talmale college of Home Science
32395,Tamenglong College ,Tamenglong College 
32396,Tamil Nadu College of Education ,Tamil Nadu College of Education 
32397,TAMIL NADU GOVERNMENT DENTAL COLLEGE AND HOSPITAL,TAMIL NADU GOVERNMENT DENTAL COLLEGE AND HOSPITAL
32398,TAMIL NADU INSTITUTE OF LABOUR STUDIES ,TAMIL NADU INSTITUTE OF LABOUR STUDIES 
32399,Tamilavel Umamaheswaranar Karanthai Arts College,Tamilavel Umamaheswaranar Karanthai Arts College
32400,Tamilnadu College of Engineering ,Tamilnadu College of Engineering 
32401,Tamilnadu School of Architecture ,Tamilnadu School of Architecture 
32402,TAMILNADU THEOLOGICAL SEMINARY ,TAMILNADU THEOLOGICAL SEMINARY 
32403,Tamizhan College of Engineering and Technology ,Tamizhan College of Engineering and Technology 
32404,Tamralipta Institute of Management and Technology 212 ,Tamralipta Institute of Management and Technology  
32405,Tamralipta Mahavidyalaya ,Tamralipta Mahavidyalaya 
32406,Tana Bhagat College ,Tana Bhagat College 
32407,Tangi College,Tangi College
32408,Tangla College ,Tangla College 
32409,Tanisque College of Education,Tanisque College of Education
32410,Tanmay Bahuddeshiya Sanstha,Tanmay Bahuddeshiya Sanstha
32411,Tansen Sangeet Mahavidhyalaya,Tansen Sangeet Mahavidhyalaya
32412,Tanzil College of Education,Tanzil College of Education
32413,Tapacharya Hem Kunwar Rasik Lal Dhariwal Jain Girls College,Tapacharya Hem Kunwar Rasik Lal Dhariwal Jain Girls College
32414,Tapadia Diagnostic Centre ,Tapadia Diagnostic Centre 
32415,Tapasvi Ramrao Maharaj Arts College,Tapasvi Ramrao Maharaj Arts College
32416,Tapaswi Public Charitable Trust's Late. Venkatesh Mahanan Arts & Science College. ,Tapaswi Public Charitable Trusts Late. Venkatesh Mahanan Arts  Science College. 
32417,TAPESHWAR SINGH TEACHERS TRAINING COLLEGE,TAPESHWAR SINGH TEACHERS TRAINING COLLEGE
32418,Tapovan Sanskar Kendra's Satyam College of Education ,Tapovan Sanskar Kendras Satyam College of Education 
32419,TARA CHAND VEDIC PUTRI DEGREE COLLEGE NAI MANDI,TARA CHAND VEDIC PUTRI DEGREE COLLEGE NAI MANDI
32420,Tara Devi Education Institute ,Tara Devi Education Institute 
32421,TARA Govt. College ,TARA Govt. College 
32422,TARA INSTITUTE OF PARA MEDICAL SCIENCES,TARA INSTITUTE OF PARA MEDICAL SCIENCES
32423,Tara Tarini College,Tara Tarini College
32424,Tara Vivek College,Tara Vivek College
32425,Taradevi Harakhchand Kankaria Jain College ,Taradevi Harakhchand Kankaria Jain College 
32426,Tarai Arts and Science College ,Tarai Arts and Science College 
32427,Tarakeswar Degree College ,Tarakeswar Degree College 
32428,Taralabalu Jagadguru College of Education Hirekerur ,Taralabalu Jagadguru College of Education Hirekerur 
32429,Taranath Ayurvedic Medical College ,Taranath Ayurvedic Medical College 
32430,Tarapith College of B.Ed. ,Tarapith College of B.Ed. 
32431,Tarar College,Tarar College
32432,Tarashankar Bandopadhyay B. Ed. Institution ,Tarashankar Bandopadhyay B. Ed. Institution 
32433,Tarawati Memorial Degree College,Tarawati Memorial Degree College
32434,Target Mahavidyalaya,Target Mahavidyalaya
32435,Tariq College of Education ,Tariq College of Education 
32436,Tarkesh & Niranjana Sureshbhai Patel Commerce College,Tarkesh  Niranjana Sureshbhai Patel Commerce College
32437,Tarkeshwar Prsasad Verma College,Tarkeshwar Prsasad Verma College
32438,Tarlapadu College of Education ,Tarlapadu College of Education 
32439,TASMAC College,TASMAC College
32440,TATA COLLEGE,TATA COLLEGE
32441,TATA INSTITUTE OF TECHNOLOGY,TATA INSTITUTE OF TECHNOLOGY
32442,Tata Institute of Technology ,Tata Institute of Technology 
32443,Tata Memorial Centre ,Tata Memorial Centre 
32444,Tata Memorial Hospital,Tata Memorial Hospital
32445,Tata memorial hospital ,Tata memorial hospital 
32446,Tatakare Charitable Trusts Arts Science and Commerce College at & Post Kolad Chinchawali Tal.Roha Dist Raigad ,Tatakare Charitable Trusts Arts Science and Commerce College at  Post Kolad Chinchawali Tal.Roha Dist Raigad 
32447,TATHAGAT T.T. COLLEGE,TATHAGAT T.T. COLLEGE
32448,Tatva Institute of Technological Studies,Tatva Institute of Technological Studies
32449,Tatyasaheb Kore College of Pharmacy,Tatyasaheb Kore College of Pharmacy
32450,Tatyasaheb Kore Dental College & Research Centre,Tatyasaheb Kore Dental College  Research Centre
32451,Tatyasaheb Kore Institute of Engineering & Technology,Tatyasaheb Kore Institute of Engineering  Technology
32452,Tatyasaheb Kore Shikshanshastra Mahavidyala,Tatyasaheb Kore Shikshanshastra Mahavidyala
32453,Tau Devi Lal G.C. for Women,Tau Devi Lal G.C. for Women
32454,Tau Devi Lal Memorial College of Education,Tau Devi Lal Memorial College of Education
32455,TAVITE COMPUTER & SOFTWARE INSTITUTE KATNI ,TAVITE COMPUTER  SOFTWARE INSTITUTE KATNI 
32456,Tayyabpur Vidyapeeth Sanskrit Mahavidyalaya,Tayyabpur Vidyapeeth Sanskrit Mahavidyalaya
32457,Tazshila Women's B.Ed. College ,Tazshila Womens B.Ed. College 
32458,TCB College of Agriculture and Research Centre ,TCB College of Agriculture and Research Centre 
